緯度,経度,施設名,所在地,水飲み栓設置場所,営業時間,入場料等,タイプ,稼働停止,備考
35.72911,139.29451,あきる野市役所本庁舎,あきる野市二宮３５０,１階,"月曜日～金曜日
8:30～17:15",,飲み口型,,
35.75652,139.84303,亀有学び交流館,葛飾区お花茶屋３－５－６,１階,"9:00~21:00
休館日：年末年始及び保守点検日",,飲み口型,,
35.7285575,139.8541883,西奥戸憩い交流館,葛飾区奥戸１－１２－１,１階,"9:00~21:30
休館日：年末年始及び保守点検日",,飲み口型,,
35.73667,139.86189,奥戸総合スポーツセンター体育館,葛飾区奥戸７－１７－１,１・２階,"9:00~21:00
休館日：年末年始及び保守点検日",,飲み口型,,
35.74531887,139.8745667,鎌倉憩い交流館,葛飾区鎌倉２－６－２０,１階,"9:00~21:00
休館日：年末年始及び保守点検日",,飲み口型,,
35.7660004,139.8665234,末広憩い交流館,葛飾区金町５－４－１,１階,"9:00~21:30
休館日：年末年始及び保守点検日",,飲み口型,,
35.7413,139.86314,奥戸総合スポーツセンター温水プール館,葛飾区高砂１－２－１,１・２階,"9:00~21:00
休館日：年末年始及び保守点検日",,飲み口型,,
35.74596597,139.8686309,高砂地区センター,葛飾区高砂３－１－３９,１・２・３階,"9:00~21:00
休館日：年末年始及び保守点検日",,飲み口型,,
35.75373464,139.881937,柴又学び交流館,葛飾区柴又５－３３－８,１・２・３階,"9:00~21:00
休館日：年末年始及び保守点検日",,飲み口型,,
35.75486754,139.8241374,小菅憩い交流館,葛飾区小菅３－６－１,１階,"9:00~21:00
休館日：年末年始及び保守点検日",,飲み口型,,
35.75909627,139.8590164,新宿憩い交流館,葛飾区新宿１－５－６,１階,"9:00~21:00
休館日：年末年始及び保守点検日",,飲み口型,,
35.71639,139.86179,新小岩地区センター,葛飾区新小岩２－１７－１,２階,"9:00~21:00
休館日：年末年始及び保守点検日",,飲み口型,,
35.78183646,139.8587448,水元総合スポーツセンター,葛飾区水元１－２３－１,１・２・３階・プール内,"9:00~21:00
休館日：年末年始及び保守点検日",一部有料,ボトルディスペンサー型・飲み口型,,
35.78815788,139.8606775,水元憩い交流館,葛飾区水元４－６－１５,１階,"9:00~21:00
休館日：年末年始及び保守点検日",,飲み口型,,
35.75690917,139.8371223,中道憩い交流館,葛飾区西亀有１－２－７,１階,"9:00~21:30
休館日：年末年始及び保守点検日",,飲み口型,,
35.76253,139.83818,砂原憩い交流館,葛飾区西亀有３－１２－１,１階,"9:00~21:30
休館日：年末年始及び保守点検日",,飲み口型,,
35.71819421,139.8546346,たつみ憩い交流館,葛飾区西新小岩２－１－４,１階,"9:00~21:00
休館日：年末年始及び保守点検日",,飲み口型,,
35.7501302,139.8543748,青戸地区センター,葛飾区青戸５－２０－６,２・３・４階,"9:00~21:00
休館日：年末年始及び保守点検日",,飲み口型,,
35.75311203,139.8570735,青戸中央憩い交流館,葛飾区青戸６－１６－１２,１階,"9:00~21:00
休館日：年末年始及び保守点検日",,飲み口型,,
35.75245689,139.8525629,テクノプラザかつしか（葛飾区地域産業振興会館）,葛飾区青戸７ー２ー１,２階,"9:00~21:00
休館日：年末年始及び保守点検日",,飲み口型,,
35.77932065,139.8779761,東金町憩い交流館,葛飾区東金町５－２２－１８,１階,"9:00~21:00
休館日：年末年始及び保守点検日",,飲み口型,,
35.72900855,139.8406228,東四つ木地区センター,葛飾区東四つ木１－２０－４,１階,"9:00~21:00
休館日：年末年始及び保守点検日",,飲み口型,,
35.72446,139.85875,新小岩北地区センター,葛飾区東新小岩６－２１－１,１階,"9:00~21:00
休館日：年末年始及び保守点検日",,飲み口型,,
35.73411847,139.847485,東立石地区センター,葛飾区東立石２－１５－７,１階,"9:00~21:00
休館日：年末年始及び保守点検日",,飲み口型,,
35.77944,139.85573,水元学び交流館,葛飾区南水元２－１３－１,１・３階,"9:00~21:00
休館日：年末年始及び保守点検日",,飲み口型,,
35.75301,139.84344,郷土と天文の博物館,葛飾区白鳥3-25-1,1階、3階,"9:00~17:00、祝日以外の金・土曜日9:00~21:00
1/2,3 12:00~17:00
休館日：月曜日、第2・4火曜日(月曜祝日は開館、火曜祝日は開館し、その直後の平日は休館)、12/28~1/1,1/4",,飲み口型,,
35.74014356,139.8372064,四つ木地区センター,葛飾区宝町１－１－２２,１階,"9:00~21:30
休館日：年末年始及び保守点検日",,飲み口型,,
35.74769484,139.8371707,宝町憩い交流館,葛飾区宝町２－３８－１９,１階,"9:00~21:00
休館日：年末年始及び保守点検日",,飲み口型,,
35.74045869,139.82944,堀切憩い交流館,葛飾区堀切１－２３－６,１階,"9:00~21:00
休館日：年末年始及び保守点検日",,飲み口型,,
35.74730706,139.8280876,堀切地区センター,葛飾区堀切３－８－５,１階,"9:00~21:00
休館日：年末年始及び保守点検日",,飲み口型,,
35.74125,139.85338,水道局葛飾営業所,葛飾区立石８－１７－４,１階,平日8:30-17:15,,飲み口型,,
35.72495402,139.5779772,関町リサイクルセンター,練馬区関町北１－７－１４,２階給湯室前,"9:00~17:00
休館日：毎週水曜日※祝・休日は開館し、その直後の祝・休日でない日に休館",,飲み口型,,
35.69470579,139.8832598,一之江コミュニティ会館,江戸川区一之江２－６－１５,１階,9:00~21:30,,飲み口型,,
35.68627,139.88194,コミュニティプラザ一之江,江戸川区一之江７－３５－２２,４階,9:00~21:30,,飲み口型,,
35.686,139.8831,一之江駅（都営新宿線）,江戸川区一之江８－１４－１　,ホーム,始発から終電まで,有料,飲み口型,,
35.68409547,139.9000835,東部図書館,江戸川区江戸川2-26-1,１階エントランス,"9:00~21:30 
休館日：毎月第４月曜日（月曜が祝日の場合は火曜日）",,飲み口型,,
35.68670972,139.9030289,江戸川コミュニティ会館,江戸川区江戸川２－３３－９,１階,9:00~21:30,,飲み口型,,
35.6755602,139.8708603,葛西図書館,江戸川区江戸川６－２４－１,1階ホール,"9:00~21:30 
休館日：毎月第４月曜日（月曜が祝日の場合は火曜日）",,飲み口型,,
35.6769619,139.8807768,二之江コミュニティ会館,江戸川区江戸川６－４６,１階ホール・２階,9:00~21:30,,飲み口型,,
35.70945,139.88974,鹿骨区民館,江戸川区鹿骨1－５４－２,２階ロビー,9:00~21:30,,飲み口型,,
35.7055,139.90289,篠崎文化プラザ,江戸川区篠崎町７－２０－１９,３階,9:00~21:30,,飲み口型,,
35.70583,139.90366,篠崎駅（都営新宿線）,江戸川区篠崎町７－２７－１,ホーム,始発から終電まで,有料,飲み口型,,
35.70583077,139.9038101,篠崎コミュニティホール,江戸川区篠崎町７－２７－１交通会館篠崎ビル,５階,9:00~21:30,,飲み口型,,
35.69671533,139.8488418,小松川さくらホール,江戸川区小松川３－６－３,１・２・３・４・５階,9:00~21:30,,飲み口型,,
35.69691572,139.8713058,松江区民プラザ,江戸川区松江２－１－１０,１・２階,9:00~21:30,,飲み口型,,
35.68768102,139.8662047,水道局江戸川営業所,江戸川区松江５－４－１２,１階,平日8:30-17:15,,飲み口型,,
35.69119153,139.8730327,松江コミュニティ会館,江戸川区松江７－５－１２,１・３階,9:00~21:30,,飲み口型,,
35.70605,139.86636,グリーンパレス,江戸川区松島１－３８－１,新館２階ロビー・３階ロビー・４階ロビー,9:00~21:30,,飲み口型,,
35.71121431,139.8583562,松島コミュニティ会館,江戸川区松島4-25-6,１階、２階、３階,,,ボトルディスペンサー型,,
35.71734406,139.8763576,総合体育館,江戸川区松本１－３５－１,体育棟１・２階・プール棟１階・アーチェリー場１階,8:30~22:30,,飲み口型,,
35.72567305,139.8724789,上一色コミュニティセンター,江戸川区上一色２－６－１０,１階ロビー,9:00~21:30,,飲み口型,,
35.70812,139.90123,篠崎コミュニティ会館,江戸川区上篠崎４－２１－８,１・２階,9:00~21:30,,飲み口型,,
35.69334,139.89775,瑞江駅（都営新宿線）,江戸川区瑞江２－２－１,ホーム,始発から終電まで,有料,飲み口型,,
35.69398,139.89775,東部フレンドホール,江戸川区瑞江２－５－７,５階,9:00~21:30,,飲み口型,,
35.65897922,139.8559215,清新町コミュニティ会館,江戸川区清新町１－２－２,１階ロビー,9:00~21:30,,飲み口型,,
35.65518914,139.852733,陸上競技場,江戸川区清新町２－１－１,ロビー,9:00~21:00,,ボトルディスペンサー型,,
35.66786,139.8625,スポーツセンター,江戸川区西葛西４－２－２０,１・２・３階,9:00~23:00,,ボトルディスペンサー型,,
35.66476496,139.8628604,西葛西図書館,江戸川区西葛西５－１０－４７,１階トイレ前,"9:00~21:30 
休館日：毎月第４月曜日（月曜が祝日の場合は火曜日）",,飲み口型,,
35.66176,139.85762,江戸川区球場,江戸川区西葛西７－２－１,給湯室,8:00~21:00,,飲み口型,,
35.73713933,139.8801913,西小岩コミュニティ会館,江戸川区西小岩４－３－２２,１・２階ロビー,9:00~21:30,,飲み口型,,
35.68680759,139.891047,瑞江コミュニティ会館,江戸川区西瑞江３－１８－１,１階,9:00~21:30,,飲み口型,,
35.68637354,139.8623131,船堀コミュニティ会館,江戸川区船堀１－３－１,２・３階,9:00~21:30,,飲み口型,,
35.6838,139.86421,船堀駅（都営新宿線）,江戸川区船堀３－６－１,ホーム,始発から終電まで,有料,飲み口型,,
