scenario,year,total,japanese,foreign,male,female,under15,working_age_15_64,age65plus,foreign_share,age65plus_share
both_inflows_zero,2026,14270748.000000004,13476291.728174618,794456.2718253855,7004359.336209876,7266388.663790125,1524869.5356300592,9543487.810819099,3202390.6535508446,0.05567026142045149,0.2244024387194591
both_inflows_zero,2027,13770081.405668741,13065770.882325528,704310.5233432122,6734635.731802679,7035445.6738660615,1473670.380894952,9067429.913525978,3228981.1112478105,0.05114788377745306,0.23449252158513262
both_inflows_zero,2028,13303645.506808188,12673110.203432702,630535.3033754862,6484646.579891981,6818998.926916206,1418180.6564538814,8634467.367223278,3250997.483131028,0.04739567835393746,0.24436891989246995
both_inflows_zero,2029,12865911.487848498,12296327.069511691,569584.4183368067,6251152.688299828,6614758.799548671,1358828.1114532868,8238403.017061477,3268680.3593337354,0.044270817413501064,0.25405742627880773
both_inflows_zero,2030,12452491.42064998,11933776.671009194,518714.74964078673,6031567.026028103,6420924.394621878,1296009.7018733064,7874146.966057889,3282334.752718784,0.04165549945937738,0.2635885978026602
both_inflows_zero,2031,12059774.320553605,11583975.15973803,475799.1608155718,5823783.023166212,6235991.29738739,1230087.7429166178,7537465.221896482,3292221.355740505,0.039453405028041205,0.27299195393147085
both_inflows_zero,2032,11684814.11329004,11245625.703745123,439188.409544918,5626096.615294896,6058717.497995145,1168798.0386059335,7185956.478247805,3330059.5964363026,0.03758625556955974,0.2849903784647091
both_inflows_zero,2033,11324261.123582968,10916608.85914185,407652.2644411181,5436662.355868931,5887598.767714037,1105177.295363341,6855823.482329135,3363260.345890491,0.035998133564067614,0.2969960078796173
both_inflows_zero,2034,10976656.652645439,10596502.254046999,380154.39859843894,5254465.03392192,5722191.618723518,1039730.421535648,6544405.397954877,3392520.8331549135,0.034632986220519114,0.3090668625712453
both_inflows_zero,2035,10640295.80123447,10284404.01897132,355891.7822631509,5078588.435330208,5561707.365904262,972892.820939745,6249470.823135132,3417932.1571595967,0.03344754590580658,0.32122529495496294
both_inflows_zero,2036,10313833.258572297,9979590.950256981,334242.3083153175,4908292.909761559,5405540.348810739,905038.9548792616,5969136.685085245,3439657.6186077897,0.03240718556677397,0.3334994402540814
both_inflows_zero,2037,9996200.270226534,9681477.432383854,314722.83784267853,4742984.153790468,5253216.116436065,850356.8697228514,5667923.7066352675,3477919.693868415,0.03148424694731994,0.3479241711700518
both_inflows_zero,2038,9686028.041711116,9389083.637557086,296944.4041540303,4582135.915357303,5103892.126353813,796660.5315609111,5377569.22398398,3511798.286166224,0.03065698373732693,0.3625632995324094
both_inflows_zero,2039,9383569.055952128,9102928.136876343,280640.9190757858,4425581.204447461,4957987.851504667,744150.6276599917,5097182.528437701,3542235.8998544365,0.029907694759039618,0.3774934546474667
both_inflows_zero,2040,9088366.921486631,8822770.86263258,265596.0588540508,4273083.242385274,4815283.679101355,693000.0121677015,4826005.029513286,3569361.879805642,0.02922373856034918,0.39273963195378814
both_inflows_zero,2041,8800067.019341808,8548432.556662556,251634.46267925293,4124437.658155246,4675629.361186564,643385.8649500919,4563321.096290683,3593360.0581010347,0.028594607532667824,0.40833326044030477
both_inflows_zero,2042,8518408.172227988,8279794.349005451,238613.82322253782,3979487.2677630503,4538920.904464939,593538.2034137612,4328844.149424462,3596025.819389765,0.028011550796600115,0.4221476297782553
