図1-1-4-（1）　高齢化の推移と将来推計,,,,,,,,,,,

,,（万人）,（万人）,（％）,（万人）,（％）,（万人）,（％）,（万人）,（％）,（％）
,,総人口,19歳以下人口,,20～64歳人口,,65～74歳人口,,75歳以上人口,,高齢化率（65歳以上人口割合）
実績値,1950年,"8,411","3,846",,"4,150",,309,,107,,4.9
,1955年,"9,008","3,883",,"4,646",,338,,139,,5.3
,1960年,"9,430","3,781",,"5,109",,376,,164,,5.7
,1965年,"9,921","3,648",,"5,650",,434,,189,,6.3
,1970年,"10,467","3,432",,"6,295",,516,,224,,7.1
,1975年,"11,194","3,517",,"6,786",,602,,284,,7.9
,1980年,"11,706","3,578",,"7,056",,699,,366,,9.1
,1985年,"12,105","3,501",,"7,353",,776,,471,,10.3
,1990年,"12,361","3,249",,"7,590",,892,,597,,12.1
,1995年,"12,557","2,857",,"7,861",,"1,109",,717,,14.6
,2000年,"12,693","2,596",,"7,873",,"1,301",,900,,17.4
,2005年,"12,777","2,409",,"7,752",,"1,407",,"1,160",,20.2
,2010年,"12,806","2,287",18,"7,497",59,"1,517",11.9,"1,407",11.1,23
推計値,2015年,"12,660","2,176",,"7,089",,"1,749",,"1,646",,26.8
,2020年,"12,410","2,015",,"6,783",,"1,733",,"1,879",,29.1
,2025年,"12,066","1,849",,"6,559",,"1,479",,"2,179",,30.3
,2030年,"11,662","1,698",,"6,278",,"1,407",,"2,278",,31.6
,2035年,"11,212","1,562",,"5,910",,"1,495",,"2,245",,33.4
,2040年,"10,728","1,467",,"5,393",,"1,645",,"2,223",,36.1
,2045年,"10,221","1,386",,"4,978",,"1,600",,"2,257",,37.7
,2050年,"9,708","1,297",,"4,643",,"1,383",,"2,385",,38.8
,2055年,"9,193","1,199",,"4,368",,"1,225",,"2,401",,39.4
,2060年,"8,674","1,104",12.7,"4,105",47.3,"1,128",13,"2,336",26.9,39.9

資料：2010年までは総務省「国勢調査」、2015年以降は国立社会保障・人口問題研究所「日本の将来推計人口（平成24年1月推計）」の出生中位・死亡中位仮定による推計結果,,,,,,,,,,,
（注）1950年～2010年の総数は年齢不詳を含む,,,,,,,,,,,
