図1-1-6　高齢世代人口の比率,,,

,,,（人）
,,70歳以上人口を20～69歳人口で支える場合,65歳以上人口を20～64歳人口で支える場合
実績値,1950年,18.3,10
,1955年,17.4,9.7
,1960年,16.5,9.5
,1965年,16.2,9.1
,1970年,15,8.5
,1975年,13.2,7.7
,1980年,11.2,6.6
,1985年,9.4,5.9
,1990年,8.3,5.1
,1995年,7.2,4.3
,2000年,5.8,3.6
,2005年,4.7,3
,2010年,4,2.6
推計値,2015年,2.9,2.1
,2020年,2.4,1.9
,2025年,2.2,1.8
,2030年,2.1,1.7
,2035年,2,1.6
,2040年,1.8,1.4
,2045年,1.6,1.3
,2050年,1.5,1.2
,2055年,1.4,1.2
,2060年,1.4,1.2

資料：2010年までは総務省「国勢調査」、2015年以降は国立社会保障・人口問題研究所「将来推計人口（平成24年1月推計）」の出生中位・死亡中位仮定による推計結果,,,
