タイトル,概要,カテゴリ,所管,形式,データセットURL,リソースURL(先頭),リソース数,更新日
【行政資料集】施設利用状況,【港区】施設利用状況についての情報です。,くらし・住まい,港区,CSV,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000051,https://opendata.city.minato.tokyo.jp/dataset/4768e180-2b6d-4de6-be57-953435bbb8bd/resource/dac62f28-5f49-4578-b422-cf4e73334374/download/riyo_yasuragi_kaikan_2018.csv,268,2026-07-03
【行政資料集】外郭団体活動状況,【港区】外郭団体についての情報です。,行財政,港区,CSV,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000050,https://opendata.city.minato.tokyo.jp/dataset/4ad96e18-667c-41f2-82a7-c761e376b88a/resource/96c1f967-741d-4c4d-b5a7-39d9ac21a327/download/jutaku_kosha_kessan_2018.csv,18,2026-07-03
【行政資料集】統計,【港区】統計についての情報です。,行財政,港区,CSV,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000047,https://opendata.city.minato.tokyo.jp/dataset/ee926df5-1e4f-4e58-8806-ab915c088907/resource/fff227af-a630-43d5-bc1a-c051fcc1a593/download/koshu_yokujo_2018.csv,75,2026-07-03
港区の住宅宿泊事業届出情報一覧,【港区】住宅宿泊事業届出情報一覧です。 住宅宿泊事業の届出情報の公表について 住宅宿泊事業の届出情報は、「港区住宅宿泊事業の適正な運営の確保に関する条例」第14条の規定に基づき、公表しています。公表する項目は、宿泊者、近隣住民等が住宅宿泊事業の届出の有無について確認できるようにするため、「届出日」、「届出番号」、「届出住宅の所在地」等としています。 ※住宅宿泊事業法の施行日である平成30年6月15日より前に届出がなされたものについては、届出年月日は一律に法の施行日（平成30年6月15日）とすることとなっています。 ※住宅宿泊事業は、平成30年6月15日から開始されました。,くらし・住まい,港区,CSV;GEOJSON,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000271,https://opendata.city.minato.tokyo.jp/dataset/a5897786-586e-4f35-8670-cb6f9b3c88ba/resource/b2013797-1676-40c7-83af-572e41e420e3/download/jyutakusyukuhaku_202503.csv,26,2026-07-03
港区の常設興行場情報,［港区］常設興行場についての情報です。,健康・医療,港区,CSV,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000236,https://opendata.city.minato.tokyo.jp/dataset/4f81a33a-c968-4093-a172-002115c8c7c8/resource/a9db40dd-d24b-4966-9339-13f8d1e78345/download/jousetsukougyoujou.csv,3,2026-07-03
港区の年齢（各歳）別人口（住民基本台帳に基づく）,【港区】各年の年齢別人口です。,行財政,港区,CSV,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000002,https://opendata.city.minato.tokyo.jp/dataset/b25c6663-85d6-4e51-a02a-6dffaf3bcd66/resource/c2664823-cc21-4a9a-b2b6-687a112637db/download/nenreibetsu_2005.csv,22,2026-07-03
港区の町丁目別人口・世帯数（住民基本台帳に基づく）,【港区】町丁目別人口・世帯数一覧です。,行財政,港区,CSV,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000017,https://opendata.city.minato.tokyo.jp/dataset/213a32cd-85de-4c30-aaf9-7164c5bf06c9/resource/d33d3c0f-bfe3-46c3-9e04-7b33cf0768ed/download/chomokubetu_2002.csv,25,2026-07-03
歯科技工所一覧,歯科技工所の一覧です。,健康・医療,港区,CSV,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000246,https://opendata.city.minato.tokyo.jp/dataset/0417d521-5289-4128-9968-6e98f109d305/resource/10ffd583-89a9-4f4e-bef3-779270e3d3d7/download/shikagikoujyo.csv,9,2026-07-03
港区のプール情報,［港区］プールについての情報です。,健康・医療,港区,CSV,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000237,https://opendata.city.minato.tokyo.jp/dataset/5b69cf3c-790a-4893-9eee-07ea24085c92/resource/a531ffaf-8ae1-4cfe-8bff-da40adcf1a46/download/pool.csv,2,2026-07-03
港区の旅館業施設情報,［港区］旅館業施設についての情報です。,観光,港区,CSV,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000235,https://opendata.city.minato.tokyo.jp/dataset/6adb6ec4-6cf8-4d4c-b68a-96c095728b0b/resource/71b05077-1f8c-459e-a17a-3789273bca08/download/ryokan.csv,3,2026-07-03
港区の公衆浴場情報,［港区］公衆浴場についての情報です。,くらし・住まい,港区,CSV,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000234,https://opendata.city.minato.tokyo.jp/dataset/10171f43-bfee-4250-93b3-8fe79831a755/resource/6283c38c-46ba-4bb5-bd13-fa73bc360194/download/koshuuyokujou.csv,3,2026-07-03
港区のクリーニング所情報,［港区］クリーニング所についての情報です。,くらし・住まい,港区,CSV,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000233,https://opendata.city.minato.tokyo.jp/dataset/ab904f07-bdaa-4e81-85e9-c6743d9dd336/resource/6a431a5c-c4b4-42a0-8d33-85f2f6dd2552/download/cleaning.csv,3,2026-07-03
港区の高度管理医療機器販売・貸与業情報,［港区］高度管理医療機器販売・貸与業についての情報です。,健康・医療,港区,CSV,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000230,https://opendata.city.minato.tokyo.jp/dataset/333328dc-ca15-4953-bae6-2367e1e7f7a0/resource/adfe971b-c068-4a77-9a40-2f983de4999f/download/kodoiryokiki_hanbai.csv,10,2026-07-03
港区の店舗販売業情報,【港区】店舗販売業についての情報です。,健康・医療,港区,CSV;GEOJSON,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000211,https://opendata.city.minato.tokyo.jp/dataset/e9c32c87-a106-4827-8623-b112f190866b/resource/c4564007-5fa8-43c5-bafa-a9218027b0d0/download/tenpohanbai.csv,30,2026-07-03
港区の薬局情報,【港区】薬局についての情報です。,健康・医療,港区,CSV;GEOJSON,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000210,https://opendata.city.minato.tokyo.jp/dataset/a7c5b774-ae57-4269-a90c-46e5d1b4e628/resource/df4fbe18-963d-479f-92b1-d9353bb4a674/download/yakkyoku.csv,30,2026-07-03
港区の施術所情報,【港区】施術所についての情報です。,健康・医療,港区,CSV;GEOJSON,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000209,https://opendata.city.minato.tokyo.jp/dataset/cec1b3c1-bf06-4437-b151-0e71a4ac863e/resource/efe1330a-f723-403d-9155-93d6d3c867b7/download/shijutsu_ahaki.csv,62,2026-07-03
港区の診療所情報,【港区】診療所についての情報です。,健康・医療,港区,CSV;GEOJSON;JSON,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000208,https://opendata.city.minato.tokyo.jp/dataset/1cb38aa1-d066-4a57-b127-aedbdae50124/resource/e8d7bf0d-050e-4076-afc4-a724d1888cae/download/shinryoujyo.csv,64,2026-07-03
港区の美容所情報,［港区］美容所についての情報です。,くらし・住まい,港区,CSV,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000232,https://opendata.city.minato.tokyo.jp/dataset/8fc687e5-d711-4f28-bbf3-403366192ee8/resource/94524ff8-962a-42d6-8b79-e06114345cc3/download/biyou.csv,3,2026-07-03
ちぃばす GTFS,ちぃばす GTFS,交通,港区,,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000243,https://opendata.city.minato.tokyo.jp/dataset/chiibus_gtfs/resource/3c9c61ee-c11f-4195-b81f-54ec088417e6,1,2026-07-03
港区公衆無線ＬＡＮアクセスポイント一覧,【港区】公衆無線ＬＡＮアクセスポイント一覧です。,デジタル・最新技術,港区,CSV;GEOJSON,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000022,https://opendata.city.minato.tokyo.jp/dataset/ec151316-0fbd-4646-8cfa-4039b98be199/resource/d02ec3d4-7c47-4538-bdf8-05167c5f7112/download/131032_public_wireless_lan.csv,4,2026-07-03
港区内の水質統計,【港区】統計についての情報です。,環境・自然,港区,CSV,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000004,https://opendata.city.minato.tokyo.jp/dataset/917c6689-2580-4ca2-b5f3-f479d4e0d20a/resource/c3bda008-12a2-4781-add4-6297f5175291/download/unga_suishitsu.csv,2,2026-07-03
食品営業許可一覧,食品営業許可の一覧です。,健康・医療,港区,CSV,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000244,https://opendata.city.minato.tokyo.jp/dataset/54d8c582-00e2-4730-a23f-4a5befec9ae5/resource/c9d0299e-8e05-4317-877f-83055709e41f/download/food_business_all.csv,1,2026-07-03
港区オープンデータ一覧表,港区が公開しているオープンデータ一覧表です。,デジタル・最新技術,港区,CSV,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000087,https://opendata.city.minato.tokyo.jp/dataset/29751bf2-8198-47ed-819c-15a753369cb7/resource/d4553ccf-f750-402b-a614-c7241a27ccb6/download/opendata-ichiran.csv,1,2026-07-03
港区の外国人住民数,【港区】外国人住民数についての情報です。,行財政,港区,CSV,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000053,https://opendata.city.minato.tokyo.jp/dataset/060141fa-58e0-4b67-a81d-01fb81f92a9c/resource/8f0d3bc0-a62d-4b6e-97a7-0dabf0355d71/download/kokusekibetsu_jinko.csv,3,2026-07-03
港区の公共施設情報,【港区】施設についての情報です。都知事杯オープンデータ・ハッカソン「公立図書館情報」「スポーツ施設一覧」「都市公園一覧」のデータを含みます。,くらし・住まい,港区,CSV;GEOJSON,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000014,https://opendata.city.minato.tokyo.jp/dataset/74c06ebb-47dd-4fe1-8ba7-a5be60d2a448/resource/fbd63677-3f3c-4a85-9595-7ecaab739afd/download/minatokushisetsujoho_kuyakusyo.csv,26,2026-07-03
港区イベント情報,【港区】区内のイベント情報です。,くらし・住まい,港区,CSV,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000003,https://opendata.city.minato.tokyo.jp/dataset/abb98f48-76fb-4013-9d7e-d3028830e7f2/resource/53b60f4a-f39e-41f2-b7a6-41f5c7ab23d3/download/minatokueventjoho.csv,1,2026-07-03
子育て,【港区】子育てについての情報です。都知事杯オープンデータ・ハッカソン「保育園・保育所入所最低指数」のデータを含みます。,子供・若者・教育,港区,CSV;GEOJSON,https://catalog.data.metro.tokyo.lg.jp/dataset/t131032d0000000001,https://opendata.city.minato.tokyo.jp/dataset/43396e92-a7b5-450d-9495-460b393246e4/resource/a5bb6bde-e004-4e37-9a83-e8493fecd634/download/hoikusupport.csv,11,2026-07-03
